,Number of Bags,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Overall,Total Cup Points,Quakers,Category Two Defects
115,2,7.42,7.83,7.58,7.67,7.67,7.75,7.58,83.5,0,0
116,320,7.42,7.42,7.42,8.0,7.92,7.67,7.67,83.5,1,11
117,5,7.67,7.67,7.5,7.67,7.58,7.67,7.67,83.42,2,0
118,150,7.75,7.75,7.5,7.5,7.58,7.58,7.75,83.42,0,3
119,1,7.75,7.92,7.67,7.92,7.75,7.83,7.92,83.42,0,0
120,320,7.75,7.67,7.58,7.5,7.67,7.5,7.67,83.33,0,5
121,1,7.58,7.67,7.5,7.75,7.5,7.58,7.75,83.33,0,0
122,320,7.5,7.75,7.58,7.75,7.67,7.58,7.5,83.33,0,0
123,1,7.58,7.67,7.58,7.75,7.42,7.58,7.75,83.33,0,1
124,2,7.67,7.67,7.42,7.75,7.5,7.75,7.58,83.33,0,0
125,320,7.58,7.75,7.42,7.67,7.5,7.75,7.67,83.33,0,3
126,1,7.75,7.83,7.58,7.58,7.58,7.5,7.5,83.33,0,1
127,2,7.92,7.92,7.75,7.33,7.58,7.5,7.33,83.33,0,16
128,320,7.92,7.67,7.42,7.5,7.67,7.58,7.5,83.25,0,8
129,960,7.58,7.5,7.5,7.83,7.67,7.5,7.67,83.25,0,4
130,1,7.75,7.75,7.58,7.67,7.42,7.5,7.58,83.25,0,1
131,2,7.67,7.67,7.58,7.67,7.58,7.58,7.5,83.25,0,2
132,9,7.67,7.75,7.67,7.58,7.5,7.58,7.5,83.25,0,3
133,260,7.75,7.58,7.58,7.58,7.5,7.58,7.67,83.25,1,5
134,1,7.75,7.75,7.5,7.75,7.5,7.42,7.5,83.17,0,2
135,1,7.67,7.67,7.5,7.58,7.58,7.5,7.67,83.17,0,0
136,26,7.67,7.75,7.33,7.67,7.58,7.5,7.58,83.08,0,7
137,250,7.67,7.67,7.5,7.58,7.58,7.5,7.58,83.08,2,7
138,325,7.75,7.58,7.58,7.58,7.58,7.5,7.5,83.08,0,2
139,600,8.0,7.67,7.42,7.58,7.58,7.42,7.33,83.0,0,1
140,1,7.5,7.67,7.58,7.58,7.5,7.5,7.58,82.92,0,0
141,141,7.75,7.5,7.42,7.67,7.58,7.5,7.5,82.92,0,1
142,1,7.58,7.5,7.5,7.67,7.58,7.5,7.58,82.92,1,3
143,300,7.67,7.5,7.42,7.75,7.42,7.58,7.58,82.92,0,0
144,275,7.67,7.58,7.5,7.5,7.58,7.5,7.5,82.83,0,4
145,2,7.17,7.92,7.58,7.5,7.58,7.67,7.42,82.83,0,5
146,22,7.58,7.42,7.58,7.5,7.67,7.75,7.33,82.83,0,4
147,275,7.33,7.58,7.25,7.33,7.75,8.17,7.33,82.75,2,1
148,10,7.33,7.5,7.25,7.92,7.75,7.58,7.42,82.75,0,1
149,250,7.58,7.67,7.58,7.5,7.33,7.5,7.5,82.67,1,2
150,2,7.33,7.58,7.58,7.5,7.67,7.67,7.33,82.67,0,0
151,6,7.5,7.58,7.5,7.42,7.5,7.58,7.58,82.67,0,0
152,325,7.67,7.58,7.33,7.5,7.58,7.5,7.5,82.67,0,2
153,1,7.67,7.67,7.42,7.42,7.42,7.5,7.5,82.58,0,0
154,1,7.67,7.58,7.42,7.42,7.5,7.5,7.5,82.58,0,2
155,120,7.5,7.58,7.42,7.58,7.5,7.58,7.42,82.58,0,0
156,600,7.67,7.33,7.17,7.67,7.83,7.5,7.33,82.5,0,2
157,200,7.75,7.67,7.17,7.67,7.42,7.42,7.42,82.5,0,0
158,620,7.5,7.58,7.5,7.5,7.67,7.42,7.33,82.5,1,1
159,4,7.33,7.58,7.5,7.5,7.5,7.58,7.5,82.5,0,1
160,10,7.67,7.42,7.5,7.5,7.67,7.42,7.33,82.5,0,0
161,345,7.58,7.58,7.33,7.5,7.58,7.42,7.5,82.5,0,8
162,1,7.42,7.42,7.58,7.42,7.58,7.5,7.58,82.5,0,2
163,275,7.58,7.58,7.42,7.42,7.5,7.5,7.42,82.42,0,0
164,77,7.5,7.5,7.33,7.5,7.5,7.42,7.58,82.33,0,0
165,600,7.5,7.5,7.42,7.42,7.42,7.67,7.42,82.33,7,10
166,275,7.33,7.67,7.25,7.67,7.83,7.42,7.17,82.33,0,0
167,1,7.67,7.58,7.42,7.5,7.33,7.42,7.42,82.33,0,1
168,275,7.67,7.5,7.33,7.58,7.33,7.42,7.42,82.25,1,3
169,3,7.75,7.42,7.33,7.5,7.33,7.5,7.33,82.17,0,5
170,13,7.5,7.5,7.42,7.5,7.25,7.5,7.5,82.17,0,2
171,125,7.67,7.5,7.25,7.5,7.5,7.33,7.42,82.17,0,8
172,1,7.5,7.67,7.33,7.5,7.25,7.33,7.5,82.08,0,0
173,1,7.33,7.42,7.42,7.5,7.42,7.5,7.5,82.08,0,3
174,1,7.5,7.58,7.42,7.42,7.25,7.42,7.42,82.0,0,1
175,2,7.17,7.5,7.42,7.42,7.58,7.5,7.42,82.0,0,0
176,500,7.42,7.42,7.42,7.33,7.58,7.33,7.5,82.0,2,8
177,275,7.42,7.42,7.42,7.33,7.5,7.42,7.5,82.0,1,2
178,320,7.67,7.33,7.25,7.67,7.42,7.25,7.42,82.0,0,0
179,275,7.5,7.5,7.33,7.5,7.33,7.33,7.42,81.92,2,2
180,540,7.33,7.42,7.33,7.42,7.58,7.42,7.42,81.92,0,1
181,1,7.25,7.42,7.42,7.5,7.42,7.42,7.42,81.83,0,0
182,1,7.5,7.5,7.25,7.42,7.42,7.42,7.33,81.83,0,4
183,14,7.5,7.5,7.42,7.33,7.33,7.33,7.42,81.83,0,2
184,325,7.42,7.5,7.58,7.33,7.33,7.25,7.33,81.75,0,0
185,275,7.33,7.5,7.33,7.42,7.42,7.42,7.33,81.75,0,0
186,32,7.58,7.42,7.25,7.25,7.5,7.33,7.33,81.67,0,2
187,100,7.33,7.42,7.25,7.42,7.42,7.33,7.42,81.58,2,4
188,1,7.42,7.5,7.33,7.33,7.33,7.33,7.33,81.58,0,0
189,1,7.33,7.5,7.42,7.33,7.33,7.25,7.33,81.5,0,0
190,2,7.33,7.42,7.25,7.33,7.5,7.42,7.17,81.42,0,1
191,5,7.42,7.25,7.33,7.42,7.33,7.33,7.25,81.33,0,5
192,2,7.25,7.25,7.42,7.25,7.42,7.42,7.17,81.17,0,0
193,1,7.42,7.25,7.25,7.42,7.17,7.33,7.33,81.17,2,2
194,440,7.42,7.42,7.25,7.25,7.17,7.25,7.25,81.0,2,1
195,1,7.42,7.33,7.33,7.5,7.08,7.0,7.17,80.83,8,7
196,275,7.25,7.25,7.17,7.33,7.08,7.25,7.17,80.5,1,3
197,275,7.42,7.17,7.0,7.08,7.42,7.17,7.17,80.42,0,5
198,3,7.25,7.25,7.17,7.33,7.0,7.17,7.25,80.42,3,3
199,275,7.5,7.25,7.17,7.17,7.17,7.08,7.0,80.33,6,11
200,1,7.08,7.25,7.08,7.42,7.42,7.08,7.0,80.33,10,7
201,440,7.25,7.17,7.17,7.08,7.17,7.17,7.17,80.17,1,2
202,2240,7.17,7.17,6.92,7.17,7.42,7.17,7.08,80.08,0,4
203,300,7.33,7.08,6.75,7.17,7.42,7.17,7.08,80.0,2,12
204,343,7.25,7.17,7.08,7.0,7.08,7.08,7.0,79.67,9,11
205,1,6.5,6.75,6.75,7.17,7.08,7.0,6.83,78.08,12,13
206,600,7.25,7.08,6.67,6.83,6.83,6.67,6.67,78.0,0,1
